fund_code,fund_name,date,unit_nav,accumulated_nav,daily_growth_rate,return_1w,return_1m,return_3m,return_6m,return_1y,return_2y,return_3y,return_ytd,return_since_inception,fee_rate
006265,红土创新新科技股票,2025-09-30,4.7252,4.7752,-0.01,0.53,6.14,61.15,71.59,103.81,96.38,36.85,87.83,379.71,1.50%
014143,银河创新成长混合C,2025-09-30,9.671,9.671,3.21,6.29,13.79,50.99,53.13,103.68,120.94,93.44,57.27,12.81,0.00%
011892,易方达先锋成长混合C,2025-09-30,1.9905,1.9905,-2.04,-4.4,-1.91,53.67,99.55,103.59,85.23,87.85,93.76,99.05,0.00%
110029,易方达科讯混合,2025-09-30,2.9406,11.9382,-1.28,-0.36,11.37,77.93,96.75,103.54,138.47,106.8,98.34,326.07,1.50%
011370,华商均衡成长混合C,2025-09-30,1.6153,1.6153,-1.84,-5.28,2,67.37,92.34,103.28,99.67,89.1,98.93,61.53,0.00%
519935,长信创新驱动股票,2025-09-30,2.223,2.223,-0.54,1.14,9.94,73.94,86.65,103.2,101.91,33.27,82.81,122.3,1.50%
000698,宝盈科技30混合,2025-09-30,5.643,5.643,-0.7,0.37,4.29,60.27,77.45,102.48,110.64,90.77,94.65,464.3,1.50%
580006,东吴新经济混合A,2025-09-30,1.4927,1.8827,0.57,1.08,11.4,84.35,104.7,102.43,69.39,2.87,104.54,106.85,1.50%
519766,交银荣鑫灵活配置混合A,2025-09-30,2.7157,2.7527,-1.32,-2.55,3.99,74.78,92.4,102.02,112.16,104.03,100.33,179.08,0.80%
019514,交银荣鑫灵活配置混合C,2025-09-30,2.7096,2.7096,-1.32,-2.55,3.98,74.73,92.31,101.8,111.72,,100.18,111.85,0.00%
580001,东吴嘉禾优势精选混合A,2025-09-30,1.7892,3.7068,0.68,2.19,11.84,70.95,85.56,101.65,156.55,155.09,93.49,736.82,1.50%
012617,东吴新经济混合C,2025-09-30,1.4688,1.4688,0.56,1.07,11.36,84.18,104.31,101.62,68.05,1.65,103.94,-9.79,0.00%
013369,汇添富自主核心科技一年持有混合A,2025-09-30,1.7169,1.7169,-0.87,-1.16,11.38,75.8,83.82,101.4,98.16,92.8,88.92,71.69,1.50%
001322,东吴新趋势价值线混合,2025-09-30,3.5822,3.5822,0.73,2.02,12.46,72.73,86.65,101.36,161.53,252.89,95.44,258.22,1.50%
017075,宝盈半导体产业混合发起式A,2025-09-30,2.0081,2.0081,3.46,6.63,17.82,51.38,47.12,101.33,91.08,,51.89,100.81,1.50%
501081,中欧科创主题混合(LOF)A,2025-09-30,3.126,3.126,3.43,7.14,7.94,40.13,39.05,101.29,127.26,102.78,74.45,212.6,1.50%
100039,富国通胀通缩主题轮动混合A,2025-09-30,6.847,6.897,-0.64,-1.48,7.56,66.11,82.88,101.03,98.29,92.55,96.19,613.99,1.50%
015641,银华数字经济股票发起式A,2025-09-30,1.7564,1.7564,1.82,5.1,8.25,25.88,19.31,101.01,87.41,85.18,34.59,75.64,1.50%
001480,财通成长优选混合A,2025-09-30,3.452,3.452,-1.93,-5.29,4.54,90.4,111.78,100.93,142.42,59.67,59.96,245.2,1.50%
015152,东吴嘉禾优势精选混合C,2025-09-30,1.7653,1.7653,0.68,2.19,11.81,70.79,85.22,100.9,154.59,152.19,92.95,124.31,0.00%
013370,汇添富自主核心科技一年持有混合C,2025-09-30,1.6925,1.6925,-0.87,-1.16,11.34,75.64,83.45,100.6,96.6,90.53,88.35,69.25,0.00%
014036,博时成长回报混合A,2025-09-30,1.3043,1.3043,0.59,1.97,9.03,58.12,69.72,100.57,83.03,58.31,87.56,30.43,1.50%
015642,银华数字经济股票发起式C,2025-09-30,1.7435,1.7435,1.82,5.09,8.23,25.81,19.19,100.47,86.55,83.95,34.3,74.35,0.00%
017076,宝盈半导体产业混合发起式C,2025-09-30,1.9797,1.9797,3.45,6.62,17.77,51.19,46.75,100.27,89.12,,51.32,97.97,0.00%
018993,中欧数字经济混合发起A,2025-09-30,3.05,3.05,-0.4,0.61,9.61,79.11,101.83,188.47,205.21,,140.86,205,1.50%
018994,中欧数字经济混合发起C,2025-09-30,3.0132,3.0132,-0.4,0.6,9.56,78.85,101.23,186.81,201.62,,139.79,201.32,0.00%
014938,同泰产业升级混合A,2025-09-30,2.1425,2.1425,-0.29,-0.04,9.56,30.65,30.27,169.4,172.69,111.42,165.36,114.25,1.50%
001412,德邦鑫星价值灵活配置混合A,2025-09-30,3.326,3.464,-2.26,-6.06,2.51,83.87,120.41,168.72,206.66,185.71,99.17,278.24,1.50%
002112,德邦鑫星价值灵活配置混合C,2025-09-30,3.1973,3.3453,-2.26,-6.07,2.5,83.82,120.29,168.48,206.08,184.86,99.04,272.53,0.00%
014939,同泰产业升级混合C,2025-09-30,2.1127,2.1127,-0.3,-0.05,9.52,30.52,30.02,168.31,170.51,108.89,164.55,111.27,0.00%
018124,永赢先进制造智选混合发起A,2025-09-30,2.5586,2.5586,-0.82,-0.36,17.18,38.29,32.81,166.44,131.13,,102.29,155.86,1.50%
018125,永赢先进制造智选混合发起C,2025-09-30,2.5347,2.5347,-0.83,-0.37,17.14,38.15,32.54,165.39,129.26,,101.68,153.47,0.00%
016370,信澳业绩驱动混合A,2025-09-30,1.5276,1.5276,-2.1,-5.99,-1.25,83.87,114.19,156.91,149.73,53.16,110.3,52.76,1.50%
016371,信澳业绩驱动混合C,2025-09-30,1.4993,1.4993,-2.1,-5.99,-1.3,83.63,113.58,155.42,146.76,50.43,109.4,49.93,0.00%
018956,中航机遇领航混合发起A,2025-09-30,3.0479,3.0479,-2.41,-5.27,0.66,88.64,144.93,155.12,193.6,,127.17,204.79,1.50%
018957,中航机遇领航混合发起C,2025-09-30,3.0084,3.0084,-2.41,-5.28,0.61,88.37,144.21,153.6,190.05,,126.16,200.84,0.00%
016530,鹏华碳中和主题混合A,2025-09-30,2.1014,2.1014,-0.45,0.9,19.98,41.68,32.16,152.66,124.15,,111.79,110.14,1.50%
016531,鹏华碳中和主题混合C,2025-09-30,2.0714,2.0714,-0.44,0.89,19.92,41.47,31.76,151.17,121.52,,110.85,107.14,0.00%
007713,华富科技动能混合A,2025-09-30,1.9621,2.0121,-0.18,1.47,24.91,49.39,53.34,151.07,124.29,74.91,110.26,104.18,1.50%
017968,华富科技动能混合C,2025-09-30,1.9326,1.9326,-0.18,1.46,24.84,49.17,52.9,149.59,121.65,,109.31,75.45,0.00%
011815,恒越优势精选混合,2025-09-30,1.3592,1.3592,3.34,6.53,19.87,100.06,122.97,141.29,129.94,73.46,128.21,35.92,1.50%
001194,景顺长城稳健回报混合A,2025-09-30,4.14,4.205,-0.77,-0.74,11.29,88.27,108.77,141.12,201.31,190.53,113.4,333.33,1.00%
016243,广发成长领航一年持有混合A,2025-09-30,2.093,2.143,2.12,2.81,1.36,30.79,57.81,140.93,96.64,,120.11,118.18,1.50%
001407,景顺长城稳健回报混合C,2025-09-30,4.012,4.075,-0.77,-0.74,11.29,88.18,108.63,140.67,199.63,188.22,113.06,311.93,0.00%
016244,广发成长领航一年持有混合C,2025-09-30,2.0644,2.1144,2.12,2.8,1.32,30.63,57.37,139.52,94.5,,119.08,115.21,0.00%
021489,中航趋势领航混合发起A,2025-09-30,2.7555,2.7955,-0.47,1.25,18.41,43.08,35.74,135.64,,,97.7,183.45,1.50%
021490,中航趋势领航混合发起C,2025-09-30,2.7338,2.7738,-0.48,1.24,18.35,42.86,35.34,134.23,,,96.82,181.24,0.00%
001753,红土创新新兴产业混合,2025-09-30,2.449,2.449,-1.25,-2.31,6.39,86.24,105.11,132.79,128.45,52.3,122.64,144.9,1.50%
008988,大成科技创新混合A,2025-09-30,2.8632,2.8632,-0.76,-0.29,6.94,79.26,100.56,130.53,143.06,131.71,112.89,186.32,1.50%
519770,交银优择回报灵活配置混合A,2025-09-30,3.2076,3.2826,-0.28,-0.51,8.43,84.64,111.99,129.94,129.28,130.27,125.25,244.07,0.80%
008989,大成科技创新混合C,2025-09-30,2.8016,2.8016,-0.76,-0.29,6.9,79.08,100.16,129.58,141.08,128.91,112.31,180.16,0.00%
519771,交银优择回报灵活配置混合C,2025-09-30,3.2025,3.2775,-0.28,-0.52,8.42,84.55,111.79,129.57,128.26,128.91,124.89,243.62,0.00%
000354,长盛城镇化主题混合A,2025-09-30,2.7281,3.3761,-1.64,-4.33,3.51,74.52,77.97,127.25,124.28,100.45,85.27,315.48,1.50%
005550,汇安成长优选混合A,2025-09-30,2.2195,2.2195,-1.08,-3.62,2.15,62.3,69.57,127.01,141.33,72.7,115.03,121.95,1.50%
018933,长盛城镇化主题混合C,2025-09-30,2.6926,2.6926,-1.65,-4.35,3.45,74.26,77.42,125.89,121.56,,84.44,79.58,0.00%
005551,汇安成长优选混合C,2025-09-30,2.0838,2.0838,-1.09,-3.63,2.08,61.97,68.89,125.25,137.5,68.58,113.74,108.38,0.00%
015368,国泰海通领航成长一年持有混合发起A,2025-09-30,2.0502,2.0502,0.96,5.71,12,69.41,86.57,124.83,126.09,,96.78,105.02,1.50%
015369,国泰海通领航成长一年持有混合发起C,2025-09-30,2.0291,2.0291,0.96,5.7,11.96,69.25,86.19,123.94,124.28,,96.18,102.91,0.00%
020628,汇添富上证科创板芯片ETF发起式联接A,2025-09-30,2.5347,2.5347,2.01,7.13,15.72,59.56,59.38,122.81,,,68.79,153.47,0.80%
011144,华安汇宏精选混合A,2025-09-30,2.0864,2.0864,1.32,2.14,11.38,66.77,94.54,122.64,159.05,165.31,102.39,108.64,1.50%
020629,汇添富上证科创板芯片ETF发起式联接C,2025-09-30,2.5268,2.5268,2.01,7.13,15.7,59.47,59.22,122.35,,,68.53,152.68,0.00%
011145,华安汇宏精选混合C,2025-09-30,2.0308,2.0308,1.32,2.13,11.32,66.51,93.98,121.32,155.99,160.59,101.47,103.08,0.00%
018122,永赢数字经济智选混合发起A,2025-09-30,1.6465,1.6465,2.6,4.12,9.72,56.76,55.71,118.28,132.52,,84.75,64.65,1.50%
018123,永赢数字经济智选混合发起C,2025-09-30,1.6306,1.6306,2.6,4.11,9.67,56.59,55.4,117.44,130.7,,84.23,63.06,0.00%
019457,平安先进制造主题股票发起A,2025-09-30,2.0476,2.0476,-0.17,-0.28,5.96,26.29,26.02,116.98,,,93.63,104.76,1.50%
001075,宝盈转型动力混合A,2025-09-30,2.3508,2.3508,-0.9,-2.25,5.97,78.02,108.42,116.88,167.35,193.67,107.19,135.08,1.50%
018287,信澳优势产业混合A,2025-09-30,2.3148,2.3148,0.92,0.05,18.07,62.4,74.94,116.03,133.84,,87.69,131.48,1.50%
015389,宝盈转型动力混合C,2025-09-30,2.3114,2.3114,-0.9,-2.27,5.93,77.81,107.9,115.8,164.73,189.36,106.43,165.62,0.00%
019458,平安先进制造主题股票发起C,2025-09-30,2.0243,2.0243,-0.17,-0.29,5.9,26.1,25.64,115.7,,,92.77,102.43,0.00%
014600,博时回报严选混合A,2025-09-30,1.5364,1.5364,0.3,0.46,7.75,61.13,81.16,114.91,96.97,73.25,97.79,53.64,1.50%
000714,诺安稳健回报混合A,2025-09-30,2.159,2.327,3.5,7.31,17.53,45.49,53.34,114.83,119.63,62.7,94.15,144.54,0.80%
018288,信澳优势产业混合C,2025-09-30,2.2823,2.2823,0.92,0.04,18.02,62.16,74.41,114.74,131.03,,86.84,128.23,0.00%
002052,诺安稳健回报混合C,2025-09-30,2.091,2.259,3.46,7.29,17.47,45.41,53.3,114.46,119.18,61.72,94.15,84.63,1.50%
021224,华宝上证科创板芯片指数发起A,2025-09-30,2.7005,2.7005,2.04,6.73,16.86,61.83,62.21,114.21,,,73.14,170.05,0.50%
014601,博时回报严选混合C,2025-09-30,1.5088,1.5088,0.29,0.45,7.7,60.94,80.72,113.86,95.01,70.68,97.05,50.88,0.00%
021225,华宝上证科创板芯片指数发起C,2025-09-30,2.6944,2.6944,2.04,6.73,16.84,61.76,62.05,113.79,,,72.88,169.44,0.00%
018835,广发成长启航混合A,2025-09-30,2.4531,2.4531,1.12,1.93,8.53,36.93,49.62,113.72,,,75.42,145.31,1.50%
018836,广发成长启航混合C,2025-09-30,2.4417,2.4417,1.11,1.92,8.49,36.76,49.25,113.32,,,74.74,144.17,0.00%
009008,平安科技创新混合A,2025-09-30,2.4208,2.4208,0.41,0.2,6.64,67.34,80.47,112.5,97.04,75.01,99.8,142.08,1.50%
001513,易方达信息产业混合A,2025-09-30,5.306,5.306,-0.02,0.15,11.26,85.07,104.47,112.32,143.28,116.75,99.62,430.6,1.50%
012082,博时数字经济混合A,2025-09-30,1.3402,1.3402,0.28,1.14,10.08,58.53,70.75,111.69,99.52,75.35,86.79,34.02,1.50%
019018,易方达信息产业混合C,2025-09-30,5.254,5.254,-0.02,0.15,11.22,84.87,103.96,111.26,,,98.86,147.36,0.00%
017469,嘉实上证科创板芯片ETF发起联接A,2025-09-30,2.1243,2.1243,2.04,7.27,15.89,60.41,60.18,110.87,120.5,,69.54,112.43,1.00%
009009,平安科技创新混合C,2025-09-30,2.3157,2.3157,0.41,0.19,6.57,67.01,79.75,110.84,93.93,70.89,98.62,131.57,0.00%
012083,博时数字经济混合C,2025-09-30,1.3173,1.3173,0.28,1.14,10.05,58.39,70.41,110.84,97.91,73.26,86.27,31.73,0.00%
003598,华商润丰灵活配置混合A,2025-09-30,4.645,4.645,-0.73,-0.75,4.9,48.5,66.73,110.75,137.35,160.08,83.09,364.5,1.50%
001437,易方达瑞享混合I,2025-09-30,6.0069,6.0069,-2.27,-5.15,-1.58,58.61,105.93,110.57,99.76,100.97,99.49,500.69,0.60%
007509,华商润丰灵活配置混合C,2025-09-30,4.618,4.618,-0.73,-0.75,4.91,48.49,66.65,110.48,136.82,159.29,82.96,361.8,0.00%
006502,财通集成电路产业股票A,2025-09-30,3.4448,3.4448,-2.0,-5.48,3.59,86.49,103.53,110.42,135.59,94.65,75.44,244.48,1.50%
017470,嘉实上证科创板芯片ETF发起联接C,2025-09-30,2.1095,2.1095,2.04,7.27,15.86,60.31,59.98,110.34,119.4,,69.22,110.95,0.00%
013721,信澳景气优选混合A,2025-09-30,1.6788,1.6788,0.92,0.02,18.32,63.01,73.79,110.3,127.57,114.46,83.14,67.88,1.50%
006533,易方达科融混合,2025-09-30,5.8949,5.8949,-0.91,0.37,11.49,76.61,96.39,110.22,150.6,125.44,102.69,489.49,1.50%
001438,易方达瑞享混合E,2025-09-30,4.8647,4.8647,-2.27,-5.15,-1.6,58.54,105.73,110.16,98.97,99.78,99.2,386.47,0.00%
015967,永赢半导体产业智选混合发起A,2025-09-30,1.7603,1.7603,1.74,5.71,14.71,45.36,58.36,110.16,105.96,77.84,79.27,76.03,1.00%
017559,华安上证科创板芯片ETF发起式联接A,2025-09-30,2.3211,2.3211,1.98,6.95,15.71,59.81,59.66,110.05,120.47,,69.72,132.11,0.50%
213003,宝盈策略增长混合,2025-09-30,1.7391,3.0391,-0.63,0.54,5.74,63,81.08,109.99,120.08,97.49,103.17,370.44,1.50%
019829,华夏数字产业混合A,2025-09-30,2.3136,2.3136,0.03,0.18,6.86,79.77,99.35,109.87,,,105.49,131.36,1.50%
006887,诺德新生活混合A,2025-09-30,1.9823,1.9823,-1.62,-3.94,-0.52,78.39,100.27,109.75,78.09,96.5,84.45,98.23,1.20%
501099,平安新兴产业混合(LOF),2025-09-30,2.5146,2.5146,0.04,-0.14,7.18,65.48,80.15,109.65,93.59,75.07,96.67,151.46,1.20%
017560,华安上证科创板芯片ETF发起式联接C,2025-09-30,2.3085,2.3085,1.98,6.95,15.7,59.74,59.5,109.63,119.61,,69.47,130.85,0.00%
005914,景顺长城智能生活混合A,2025-09-30,3.536,3.536,-0.6,-0.46,11.99,77.23,84.54,109.6,111.89,97.37,90.7,253.6,1.50%
006888,诺德新生活混合C,2025-09-30,1.9777,1.9777,-1.63,-3.95,-0.53,78.35,100.17,109.52,77.72,96.04,84.32,97.77,0.00%
